epoch,loss,grad_norm,learning_rate,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_binary,eval_f1_class0,eval_f1_class1,eval_runtime,eval_samples_per_second,eval_steps_per_second,run_id,model,context,max_len
6.923076923076923,0.10473011016845703,7.756643772125244,2.033653846153846e-06,0.4756988286972046,0.8703448275862069,0.8362030841409014,0.7614213197969543,0.9109848484848485,0.7614213197969543,1.7772,407.947,25.884,2026-05-08_16-48-18,baseline,False,192
7.6923076923076925,0.09048301696777344,6.3075480461120605,5.913461538461538e-07,0.5326806902885437,0.8786206896551724,0.8499303752211057,0.7843137254901961,0.9155470249520153,0.7843137254901961,1.7808,407.126,25.831,2026-05-08_16-48-18,baseline,False,192
0.967741935483871,0.46916885375976564,7.221296787261963,1.9551971326164876e-05,,,,,,,,,,2026-05-08_16-48-18,hierarchical,True,192
1.935483870967742,0.2887639236450195,10.077239990234375,1.6863799283154122e-05,0.4009636342525482,0.8606896551724138,0.838257220166768,0.778021978021978,0.8984924623115578,0.778021978021978,4.9984,145.048,9.203,2026-05-08_16-48-18,hierarchical,True,192
2.903225806451613,0.221883602142334,11.792603492736816,1.417562724014337e-05,0.31024613976478577,0.8827586206896552,0.85482955281613,0.7911547911547911,0.9185043144774688,0.7911547911547911,4.9944,145.162,9.21,2026-05-08_16-48-18,hierarchical,True,192
3.870967741935484,0.1472088050842285,3.9175517559051514,1.1487455197132617e-05,0.4245532751083374,0.8731034482758621,0.8479252165982671,0.786046511627907,0.9098039215686274,0.786046511627907,4.9979,145.061,9.204,2026-05-08_16-48-18,hierarchical,True,192
4.838709677419355,0.10865612030029297,1.3283230066299438,8.799283154121865e-06,0.6435732245445251,0.8317241379310345,0.8092204027401515,0.7436974789915967,0.8747433264887063,0.7436974789915967,4.9954,145.134,9.209,2026-05-08_16-48-18,hierarchical,True,192
5.806451612903226,0.07644022941589355,6.570303440093994,6.111111111111112e-06,0.5079675912857056,0.8827586206896552,0.8486946615302647,0.7769028871391076,0.9204864359214219,0.7769028871391076,5.0081,144.765,9.185,2026-05-08_16-48-18,hierarchical,True,192
0.7692307692307693,0.46383811950683596,9.304813385009766,1.3572115384615385e-05,,,,,,,,,,2026-05-08_17-11-04,baseline,False,192
1.9230769230769231,0.358949089050293,4.738872528076172,1.1408653846153845e-05,0.34962916374206543,0.8648275862068966,0.8424947239611967,0.7831858407079646,0.9018036072144289,0.7831858407079646,1.8062,401.406,25.469,2026-05-08_17-11-04,baseline,False,192
2.6923076923076925,0.2604146766662598,10.97502613067627,9.966346153846154e-06,0.361887127161026,0.856551724137931,0.8311930220478928,0.7657657657657657,0.8966202783300199,0.7657657657657657,1.7984,403.13,25.578,2026-05-08_17-11-04,baseline,False,192
3.8461538461538463,0.19987857818603516,10.422109603881836,7.802884615384616e-06,0.3382945954799652,0.8731034482758621,0.8426382047071703,0.7733990147783252,0.9118773946360154,0.7733990147783252,1.7877,405.55,25.731,2026-05-08_17-11-04,baseline,False,192
5.0,0.1740749168395996,7.809160232543945,5.639423076923077e-06,0.514053463935852,0.8482758620689655,0.8196125798454662,0.7477064220183486,0.8915187376725838,0.7477064220183486,1.7925,404.453,25.662,2026-05-08_17-11-04,baseline,False,192
5.769230769230769,0.11384522438049316,5.133602619171143,4.197115384615385e-06,0.4553055167198181,0.8620689655172413,0.8304712198589521,0.7572815533980582,0.9036608863198459,0.7572815533980582,1.7766,408.09,25.893,2026-05-08_17-11-04,baseline,False,192
6.923076923076923,0.09359695434570313,16.70519256591797,2.033653846153846e-06,0.5079083442687988,0.8703448275862069,0.8351475568456701,0.7589743589743589,0.9113207547169812,0.7589743589743589,1.7765,408.105,25.894,2026-05-08_17-11-04,baseline,False,192
